Title	Content	category
India-Pakistan peace boosts trade	"Calmer relations between India and Pakistan are paying economic dividends, with new figures showing bilateral trade up threefold in the summer.

The value of trade in April-July rose to $186.3m (£97m) from $64.4m in the same period in 2003, the Indian Government said. Nonethless, the figures represent less than 1% of India's overall exports. But business is expected to be boosted further from 2006 when the South Asian Free Trade Area Agreement starts. Both countries eased travel and other restrictions as part of the peace process aimed at ending nearly six decades of hostilities.

Sugar, plastics, pharmaceutical products and tea are among the major exports from India to its neighbour, while firms in Pakistani have been selling fabrics, fruit and spices. ""If the positive trend continues, two-way trade could well cross half a billion dollars this fiscal year,"" India's federal commerce Minister Kamal Nath said. According to official data, the value of India's overall exports in the current fiscal year is expected to reach more than $60bn, while in Pakistan's case it is set to hit more than $12bn. Meanwhile, the Indian Government said the prospects for the country's booming economy remained ""very bright"" despite a ""temporary aberration"" this year. Its mid-year economic review forecasts growth of 6-6.5% in 2004, compared with 8.2% in 2003. Higher oil prices, the level of tax collections, and an unfavourable monsoon season affecting the farm sector had hurt the economy in April-September, it said.
"	business
US to probe airline travel chaos	"The US government is to investigate two airlines- US Airways and Delta Air Lines' Comair subsidiary - after travel chaos over the Christmas weekend.

Staff calling in sick at US Airways and computer failures at Comair left 30,000 passengers stranded and 10,000 pieces of baggage undelivered. US Airways is in Chapter 11 bankruptcy protection for the second time in two years, and battling to cut costs. It is currently trying to negotiate pay cuts with flight and baggage staff.

Transportation Secretary Norman Mineta said he was ""deeply concerned"" at the disruption to passengers, and ordered a thorough investigation. Comair's computer breakdown plunged its flight-crew scheduling system into disarray. Altogether, some 1,100 flights were cancelled over the holiday long weekend. Mr Mineta said it was important to understand ""what happened, why it happened and whether the carriers properly planned for the holiday travel period and responded appropriately to consumer needs in the aftermath"".

Adding to the atmosphere of chaos were mountains of luggage left to pile up when a third of US Airways' baggage handling staff called in sick. There was also a shortage of US Airways flight attendants, with nearly a fifth saying they were too sick to work, leading to many flight cancellations. However, union officials denied there had been a deliberate ""sickout"". They said that many people have flu at this time of year and that the airline is chronically understaffed.

US Airways ended up cancelling over 100 flights on Christmas Day, stranding passengers in as many as 119 airports. Ground crews at US Airways, the seventh-largest US airline, which is now in Chapter 11 bankruptcy protection, face a court-imposed pay cut next month. The airline needs to negotiate other paycuts if it is to find a route out of bankruptcy. It is looking for paycuts totalling $800m.

""US Airways has a full-scale employee mutiny on its hands,"" commented Michael Boyd, an industry consultant. Disruptions to flight schedules could discourage customers from flying with US Airways, reducing revenues. US Airways had to cancel approximately 65 flights on Thursday, 180 on Friday, 140 on Saturday, 43 on Sunday and 15 on Monday, said industry officials. The airline said it was ""embarrassed by the situation"" and ""deeply regrets any inconvenience caused to customers,"" The probe will focus on the industry's compliance with a 1999 agreement aimed at improving the quality of passenger service that has so far allowed airlines to avoid congressionally-mandated standards. Analysts said the Christmas chaos cast doubt on US Airway's ability to emerge from bankruptcy - and was likely to worsen the finances of troubled Delta, parent of Comair. Comair ""deeply regrets the inconvenience to all of our customers caused by the severe winter storm in the Ohio River Valley during the busy holiday season, exacerbated by problems with the airline's crew scheduling system, causing additional flight delays and cancellations,"" the Delta subsidiary said in a statement.
"	business
S Korean lender faces liquidation	"Creditors of South Korea's top credit card firm have said they will put the company into liquidation if its ex-parent firm fails to back a bail-out.

LG Card's creditors have given LG group until Wednesday to sign up to a $1.1bn rescue package. The firm avoided bankruptcy thanks to a $4.5bn bail-out in January 2004, which gave control to the creditors. LG Group has said any package should reflect the firm's new ownership, and it will not accept an unfair burden. At least seven million people in South Korea use LG Card's plastic for purchases.

LG Card's creditors have threatened parent group LG Group with penalties if it fails to respond to their demands.

""Creditors would seek strong financial sanctions against LG Group if LG Card is liquidated,"" said Yoo Ji-chang, governor of Korean Development Bank (KDB) - one of the card firm's major creditors. LG Group has said providing further help to the credit card issuer could hurt its corporate credibility and could spark shareholder lawsuits. It says it wants ""fair and reasonable guidelines"" on splitting the financial burden with the creditors, who now own 99.3% of LG Card. The creditors have asked the government to mediate to avoid any risk to the stability of financial markets, KDB said. Analysts believe a compromise is likely. ""LG Group knows the impact on consumer demand and the national economy from a liquidation of LG Card,"" said Kim Yungmin, an equity strategist at Dongwon Investment Trust Management.

LG Card almost collapsed in 2003 due to an increase in overdue credit card bills after the bursting of a credit bubble. The firm returned to profit in September 2004, but now needs a capital injection to avoid being delisted from the Korea Stock Exchange. The exchange can delist a company if its debt exceeds its assets for two years running. LG card's creditors fear that such a move would triggered massive debt redemption requests that could bankrupt the firm, which owes about $12.05bn. ""Eventually, LG Group will have to participate, but they have been stalling to try to earn better concessions,"" said Mr Kim.
"	business
Dollar hits new low versus euro	"The US dollar has continued its record-breaking slide and has tumbled to a new low against the euro.

Investors are betting that the European Central Bank (ECB) will not do anything to weaken the euro, while the US is thought to favour a declining dollar. The US is struggling with a ballooning trade deficit and analysts said one of the easiest ways to fund it was by allowing a depreciation of the dollar. They have predicted that the dollar is likely to fall even further.

The US currency was trading at $1.364 per euro at 1800 GMT on Monday. This compares with $1.354 to the euro in late trading in New York on Friday, which was then a record low.

The dollar has weakened sharply since September when it traded about $1.20 against the euro. It has lost 7% this year, while against the Japanese yen it is down 3.2%. Traders said that thin trading levels had amplified Monday's move. ""It's not going to take much to push [the dollar] one way or the other,"" said Grant Wilson of Mellon Bank. Liquidity - a measure of the number of parties willing to trade in the market - was about half that of a normal working day, traders said.
"	business
Mild winter drives US oil down 6%	"US oil prices have fallen by 6%, driven down by forecasts of a mild winter in the densely populated northeast.

Light crude oil futures fell $2.86 to $41.32 a barrel on the New York Mercantile Exchange (Nymex), and have now lost $4 in five days. Nonetheless, US crude is still 30% more expensive than at the beginning of 2004, boosted by growing demand and bottlenecks at refineries. Traders ignored the possible effects of Asia's tidal waves on global supplies.

Instead, the focus is now on US consumption, which is heavily influenced in the short term by the weather. ""With the revised milder temperatures... I'm more inclined to think we'll push lower and test the $40-40.25 range,"" said John Brady of ABN AMRO. ""The market definitely feels to be on the defensive."" Statistics released last week showed that stockpiles of oil products in the US had risen, an indication that severe supply disruptions may not arise this winter, barring any serious incident. Oil prices have broken records in 2004, topping $50 a barrel at one point, driven up by a welter of worries about unrest in Iraq and Saudi Arabia, rising demand and supply bottlenecks. London's International Petroleum Exchange remained closed for the Christmas holiday.
"	business
Share boost for feud-hit Reliance	"The board of Indian conglomerate Reliance has agreed a share buy-back, to counter the effects of a power struggle in the controlling family.

The buy-back is a victory for chairman Mukesh Ambani, whose idea it was. His brother Anil, the vice-chairman, said had not been consulted and that the buy-back was ""completely inappropriate and unnecessary"". The board hopes the move will reverse a 13% fall in Reliance's shares since the feud became public last month. The company has been fractious since founder Dhirubhai Ambani died in 2002, leaving no will. ""Today's round has gone to [Mukesh], there is no doubt about it,"" said Nanik Rupani, president of the Indian Merchants Chamber, a Bombay-based traders' body. The company plans to buy back 52 million shares at 570 rupees (£6.80; $13) apiece, a premium of more than 10% to its current market price.
"	business
Giant waves damage S Asia economy	"Governments, aid agencies, insurers and travel firms are among those counting the cost of the massive earthquake and waves that hammered southern Asia.

The worst-hit areas are Sri Lanka, India, Indonesia and Thailand, with at least 23,000 people killed. Early estimates from the World Bank put the amount of aid needed at about $5bn (£2.6bn), similar to the cash offered Central America after Hurricane Mitch. Mitch killed about 10,000 people and caused damage of about $10bn in 1998. World Bank spokesman Damien Milverton told the Wall Street Journal that he expected an aid package of financing and debt relief.

Tourism is a vital part of the economies of the stricken countries, providing jobs for 19 million people in the south east Asian region, according to the World Travel and Tourism Council (WTTC). In the Maldives islands, in the Indian ocean, two-thirds of all jobs depend on tourism.

But the damage covers fishing, farming and businesses too, with hundreds of thousands of buildings and small boats destroyed by the waves. International agencies have pledged their support; most say it is impossible to gauge the extent of the damage yet. The International Monetary Fund (IMF) has promised rapid action to help the governments of the stricken countries cope.

""The IMF stands ready to do its part to assist these nations with appropriate support in their time of need,"" said managing director Rodrigo Rato. Only Sri Lanka and Bangladesh currently receive IMF support, while Indonesia, the quake's epicentre, has recently graduated from IMF assistance. It is up to governments to decide if they want IMF help. Other agencies, such as the Asian Development Bank, have said that it is too early to comment on the amount of aid needed. There is no underestimating the size of the problem, however. The United Nations' emergency relief coordinator, Jan Egeland, said that ""this may be the worst national disaster in recent history because it is affecting so many heavily populated coastal areas... so many vulnerable communities. ""Many people will have [had] their livelihoods, their whole future destroyed in a few seconds."" He warned that ""the longer term effects many be as devastating as the tidal wave or the tsunami itself"" because of the risks of epidemics from polluted drinking water.

Insurers are also struggling to assess the cost of the damage, but several big players believe the final bill is likely to be less than the $27bn cost of the hurricanes that battered the US earlier this year.

""The region that's affected is very big so we have to check country-by-country what the situation is"", said Serge Troeber, deputy head of the natural disasters department at Swiss Re, the world's second biggest reinsurance firm. ""I should assume, however, that the overall dimension of insured damages is below the storm damages of the US,"" he said. Munich Re, the world's biggest reinsurer, said: ""This is primarily a human tragedy. It is too early for us to state what our financial burden will be."" Allianz has said it sees no significant impact on its profitability. However, a low insurance bill may simply reflect the general poverty of much of the region, rather than the level of economic devastation for those who live there.

The International Federation of the Red Cross and Red Crescent Societies told the Reuters news agency that it was seeking $6.5m for emergency aid.

""The biggest health challenges we face is the spread of waterborne diseases, particularly malaria and diarrhoea,"" the aid agency was quoted as saying. The European Union has said it will deliver 3m euros (£2.1m; $4.1m) of aid, according to the Wall Street Journal. The EU's Humanitarian Aid Commissioner, Louis Michel, was quoted as saying that it was key to bring aid ""in those vital hours and days immediately after the disaster"". Other countries also are reported to have pledged cash, while the US State Department said it was examining what aid was needed in the region. Getting companies and business up and running also may play a vital role in helping communities recover from the weekend's events.

Many of the worst-hit areas, such as Sri Lanka, Thailand's Phuket island and the Maldives, are popular tourist resorts that are key to local economies.

December and January are two of the busiest months for the travel in southern Asia and the damage will be even more keenly felt as the industry was only just beginning to emerge from a post 9/11 slump. Growth has been rapid in southeast Asia, with the World Tourism Organisation figures showing a 45% increase in tourist revenues in the region during the first 10 months of 2004. In southern Asia that expansion is 23%. ""India continues to post excellent results thanks to increased promotion and product development, but also to the upsurge in business travel driven by the rapid economic development of the country,"" the WTO said. ""Arrivals to other destinations such as... Maldives and Sri Lanka also thrived."" In Thailand, tourism accounts for about 6% of the country's annual gross domestic product, or about $8bn. In Singapore the figure is close to 5%. Tourism also brings in much needed foreign currency. In the short-term, however, travel companies are cancelling flights and trips. That has hit shares across Asia and Europe, with investors saying that earnings and economic growth are likely to slow.
"	business
Asia shares defy post-quake gloom	"Thailand has become the first of the 10 southern Asian nations battered by giant waves at the weekend to cut its economic forecast.

Thailand's economy is now expected to grow by 5.7% in 2005, rather than 6% as forecast before tsunamis hit six tourist provinces. The full economic costs of the disaster remain unclear. In part, this is because of its scale, and because delivering aid and recovering the dead remain priorities. But Indonesian, Indian and Hong Kong stock markets reached record highs on Wednesday, suggesting that investors do not fear a major economic impact.

The highs showed the gap in outlook between investors in large firms and individuals who have lost their livelihoods.

Investors seemed to feel that some of the worst-affected areas - such as Aceh in Indonesia - were so under-developed that the tragedy would little impact on Asia's listed companies, according to analysts. ""Obviously with a lot of loss of life, a lot of time is needed to clean up the mess, bury the people and find the missing. But it's not necessarily a really big thing in the economic sense,"" said ABN Amro chief Asian strategist Eddie Wong. India's Bombay Stock Exchange inched slightly above its previous record close on Wednesday. Expectations of strong corporate earnings in 2005 drove the Indonesian stock exchange in Jakarta to a record high on Wednesday. In Hong Kong, the Hang Seng index may be benefiting in part from the potential for its listed property companies to gain from rebuilding contracts in the tsunami-affected regions of South East Asia. In Sri Lanka, some economists have said that as much as 1% of annual growth may be lost. Sri Lanka's stock market has fallen about 5% since the weekend, but it is still 40% higher than at the start of 2004.

Thailand may lose 30bn baht (£398m; $768m) in earnings from tourism over the next three months, according to tourism minister Sontaya Kunplome.

In the affected provinces, he expects the loss of tourism revenue to be offset by government reconstruction spending. Thailand intends to spend a similar sum - around 30bn baht - on the rebuilding work. ""It will take until the fourth quarter of next year before tourist visitors in Phuket and five other provinces return to their normal level,"" said Naris Chaiyasoot, director general at the ministry's fiscal policy office. In the Maldives the cost of reconstruction could wipe out economic growth, according to a government spokesman. ""Our nation is in peril here,"" said Ahmed Shaheed, the chief government spokesman. He estimated the economic cost of the disaster at hundreds of millions of dollars. The Maldives has gross domestic product of $660m. ""It won't be surprising if the cost exceeds our GDP,"" he said. ""In the last few years, we made great progress in our standard of living - the United Nations recognised this. Now we see this can disappear in a few days, a few minutes."" Shaheed noted that investment in a single tourist resort - the economic mainstay - could run to $40m. Between 10 and 12 of the 80-odd resorts have been severely damaged, and a similar number have suffered significant damage. However, many experts, including the World Bank, have pointed out that it is still difficult to assess the magnitude of the disaster and its likely economic impact.
"	business
Israeli economy picking up pace	"Israel's economy is forecast to grow by 4.2% in 2004 as it continues to emerge from a three-year recession.

The main driver of the faster-than-expected expansion has been exports, with tourism seeing a strong rebound, the statistical office said. The economy is benefiting from a quieter period in Palestinian-Israeli violence and a pick-up in global demand for technology products. The outlook is better than it has been for a number of years, analysts said.

Many companies have focused on cost cutting and greater efficiency, while the government has been trying to trim public spending and push through reforms. The growth figures come about despite a strike earlier this year by about 400,000 public sector worker which closed banks, hospitals, postal services and transport facilities. Growth did slow in the second half, but only slightly. Exports for the year rose by 14%, while tourist revenues were up by 30%. Imports gained by 13%, signalling that domestic demand has picked up again. In 2003, imports declined by 1.8%. In 2003, the economy expanded by 1.3%
"	business
S Korea spending boost to economy	"South Korea will boost state spending next year in an effort to create jobs and kick start its sputtering economy.

It has earmarked 100 trillion won ($96bn) for the first six months of 2005, 60% of its total annual budget. The government's main problems are ""slumping consumption and a contraction in the construction industry"". It aims to create 400,000 jobs and will focus on infrastructure and home building, as well as providing public firms with money to hire new workers.

The government has set an economic growth rate target of 5% for next year and hinted that would be in danger unless it took action. ""Internal and external economic conditions are likely to remain unfavourable in 2005,"" the Finance and Economy Ministry said in a statement.

It blamed ""continuing uncertainties such as fluctuating oil prices and foreign exchange rates and stagnant domestic demand that has shown few signs of a quick rebound"". In 2004, growth will be between 4.7% and 4.8%, the ministry said. Not everyone is convinced the plan will work. ""Our primary worry centres on the what we believe is the government's overly optimistic view that its front loading of the budget will be enough to turn the economy around,"" consultancy 4Cast said in a report.

The problem facing South Korea is that many consumers are reeling from the effects of a credit bubble that only recently burst. Millions of South Koreans are defaulting on their credit card bills, and the country's biggest card lender has been hovering on the verge of bankruptcy for months. As part of its spending plans, the government said it will ask firms to ""roll over mortgage loans that come due in the first half of 2005"" . It also pledged to look at ways of helping families on low incomes.

The government voiced concern about the effect of redundancies in the building trade. ""Given the economic spill over and employment effect in the construction sector, a sharp downturn in the construction industry could have other adverse effects,"" the ministry said.

As a result, South Korea will give private companies also will be given the chance to build schools, hospitals, houses and other public buildings. It also will look at real estate tax system. Other plans on the table include promoting new industries such as bio-technology and nano-technology, as well as offering increased support to small and medium sized businesses. ""The focus will be on job creation and economic recovery, given that unfavourable domestic and global conditions are likely to dog the Korean economy in 2005,"" the ministry said.
"	business
Soros group warns of Kazakh close	"The Open Society Institute (OSI), financed by billionaire George Soros, has accused Kazakhstan officials of trying to close down its local office.

A demand for unpaid taxes and fines of $600,000 (£425,000) is politically motivated, the OSI claimed, adding that it paid the money in October. The organisation has found itself in trouble after being accused of helping to topple Georgia's former president. It denies having any role, but offices have had to close across the region.

The OSI shut its office in Moscow last year and has withdrawn from Uzbekistan and Belarus. In the Ukraine earlier this year, Mr Soros - who took on the Bank of England in the 1990s - and won, was pelted by protestors. ""This legal prosecution can be considered an attempt by the government to force Soros Foundation-Kazakhstan to cease its activities in Kazakhstan and shut its doors for Kazakh citizens and organisations,"" the OSI said.

The OSI aims to promote democratic and open, market-based societies. Since the break up of the Soviet Union in 1991, Kazakhstan has been dominated by its president Nursultan Abish-uly Nazarbayev. He has powers for life, while insulting the president and officials has been made a criminal offence. The government controls the printing presses and most radio and TV transmission facilities. It operates the country's national radio and TV networks. Recent elections were criticised as flawed and the opposition claimed there was widespread vote rigging. Supporters, however, say he brings much needed stability to a region where Islamic militancy is on the rise. They also credit him with promoting inter-ethnic accord and pushing through harsh reforms.
"	business
Deutsche attacks Yukos case	"German investment bank Deutsche Bank has challenged the right of Yukos to claim bankruptcy protection in the US.

In a court filing on Tuesday, it said the Russian oil giant has few Texas ties beyond bank accounts and a Texas-based finance chief. Deutsche Bank claimed Yukos had artificially manufactured a legal case to stop the sale of its main asset. It had wanted to help fund Gazprom's plans for a $10bn (£5.18bn) bid for Yukos unit Yuganskneftegas.

Deutsche Bank would have earned large fees from the deal, which could not be carried out because US chapter 11 bankruptcy rules made the Kremlin's auction of Yuganskneftegas on 19 December illegal under US law.

But the US bankruptcy court judge in Texas granted Yukos an injunction that barred Gazprom and its lenders from taking part. Yuganskneftegas will ultimately end up with Gazprom. The winning bidder at the auction was a previously unknown firm, Baikal Finance Group, which was snapped up days later by Rosneft, a Russian oil firm that is in the process of merging with Gazprom. The effect of these transactions is to renationalise Yuganskneftegas. Deutsche Bank contends Yukos filed for bankruptcy earlier this month in Texas in a desperate and unsuccessful bid to stave off the 19 December auction of its top unit by the Russian government, which was in a tax dispute with Yukos.

""This blatant attempt to artificially manufacture a basis for jurisdiction constitutes cause to dismiss this case,"" Deutsche Bank said in its court filing. Mike Lake, a spokesman for Yukos' lawyers, said on Tuesday that the company stands by its legal action. Yukos is confident of its right to US bankruptcy protection, and ""we are prepared to be back in court defending that position again,"" he said. Yukos has said it intends to seek $20bn in damages from the buyer of Yuganskneftegas once the sale finally goes through. In its filing, Deutsche Bank said Houston was ""a jurisdiction in which Yukos owns no real or personal property and conducts no business operations.""

It also said the US bankruptcy court should not become involved in ""a tax dispute between the Federation and one of its corporate citizens"". It suggested the European Court or an international arbitration tribunal were more appropriate jurisdictions for the legal fight between Russia and Yukos. The next hearing in the bankruptcy is expected on 6 January. Analysts believe the tax dispute between the Russian government and Yukos is partly driven by Russian president Vladimir Putin's hostility hostility to the political ambitions of ex-Yukos boss Mikhail Khordokovsky. Mr Khodorkovsky is in jail, and on trial for fraud and tax evasion.
"	business
GM in crunch talks on Fiat future	"Fiat will meet car giant General Motors (GM) on Tuesday in an attempt to reach agreement over the future of the Italian firm's loss-making auto group.

Fiat claims that GM is legally obliged to buy the 90% of the car unit it does not already own; GM says the contract, signed in 2000, is no longer valid. Press reports have speculated that Fiat may be willing to accept a cash payment in return for dropping its claim. Both companies want to cut costs as the car industry adjusts to waning demand.

The meeting between Fiat boss Sergio Marchionne and GM's Rick Wagoner is due to take place at 1330 GMT in Zurich, according to the Reuters news agency.

Mr Marchionne is confident of his firm's legal position, saying in an interview with the Financial Times that GM's argument ""has no legs"". The agreement in question dates back to GM's decision to buy 20% of Fiat's auto division in 2000. At the time, it gave the Italian firm the right, via a 'put option', to sell the remaining stake to GM. In recent weeks, Fiat has reiterated its claims that this 'put' is still valid and legally binding. However, GM argues that a Fiat share sale made last year, which cut GM's holding to 10%, together with asset sales made by Fiat have terminated the agreement.

Selling the Fiat's car-making unit may not prove so simple, analysts say, especially as it is a company that is so closely linked to Italy's industrial heritage. Political and public pressure may well push the two firms to reach a compromise. ""We are not expecting Fiat to exercise its put of the auto business against an unwilling GM at this point,"" brokerage Merrill Lynch said in a note to investors, adding that any legal battle would be protracted and damaging to the business. ""As far as we are aware, the Agnelli family, which indirectly controls at least 30% of Fiat, has not given a firm public indication that it wants to sell the auto business. ""Fiat may be willing to cancel the 'put' in exchange for money.""
"	business
Record year for Chilean copper	"Chile's copper industry has registered record earnings of $14.2bn in 2004, the governmental Chilean Copper Commission (Cochilco) has reported.

Strong demand from China's fast-growing economy and high prices have fuelled production, said Cochilco vice president Patricio Cartagena. He added that the boom has allowed the government to collect $950m in taxes. Mr Cartagena said the industry expects to see investment worth $10bn over the next three years.

""With these investments, clearly we are going to continue being the principle actor in the mining of copper. It's a consolidation of the industry with new projects and expansions that will support greater production."" Australia's BHP Billiton - which operates La Escondida, the world's largest open pit copper mine - is planning to invest $1.9bn between now and 2007, while state-owned Codelco will spend about $1bn on various projects. Chile, the biggest copper producer in the world, is now analyzing ways of to keep prices stable at their current high levels, without killing off demand or leading customers to look for substitutes for copper. The copper price reached a 16-year high in October 2004. Production in Chile is expected rise 3.5% in 2005 to 5.5 million tonnes, said Mr Cartagena. Cochilco expects for 2005 a slight reduction on copper prices and forecasts export earnings will fall 10.7%.
"	business
US consumer confidence up	"Consumers' confidence in the state of the US economy is at its highest for five months and they are optimistic about 2005, an influential survey says.

The feel-good factor among US consumers rose in December for the first time since July according to new data. The Conference Board survey of 5,000 households pointed to renewed optimism about job creation and economic growth. US retailers have reported strong sales over the past 10 days after a slow start to the crucial festive season.

According to figures also released on Tuesday, sales in shopping malls in the week to 25 December were 4.3% higher than in 2003 following a last minute rush. Wal-Mart, the largest US retailer, has said its December sales are expected to be better than previously forecast because of strong post-Christmas sales.

It is expecting annual sales growth of between 1% and 3% for the month. Consumer confidence figures are considered a key economic indicator because consumer spending accounts for about two thirds of all economic activity in the United States. ""The continuing economic expansion, combined with job growth, has consumers ending this year on a high note,"" said Lynn Franco, director of the Conference Board's consumer research centre. ""And consumers' outlook suggests that the economy will continue to expand in the first half of next year."" The overall US economy has performed strongly in recent months, prompting the Federal Reserve to increase interest rates five times since June.
"	business
Cash gives way to flexible friend	"Spending on credit and debit cards has overtaken cash spending in the UK for the first time.

The moment that plastic finally toppled cash happened at 10.38am on Wednesday, according to the Association for Payment Clearing Services (Apacs) Apacs chose school teacher Helen Carroll, from Portsmouth, to make the historic transaction. The switch over took place as she paid for her groceries in the supermarket chain Tesco's Cromwell Road branch.

Mrs Carroll was born in the same year that plastic cards first appeared in the UK. ""I pay for most things with my debit card, with occasional purchases on one of my credit cards,"" said Mrs Carroll, who teaches at Peel Common Infants School in Gosport.

Spending patterns for the year and estimates for December led Apacs to conclude that 10.38am was the time that plastic would finally rule the roost. Shoppers in the UK are expected to put £269bn on plastic cards during the whole of 2004, compared with £268bn paid with cash, Apacs said. When the first plastic cards appeared in the UK in June 1966, issued by Barclaycard, but only a handful of retailers accepted them and very few customers held them. ""But in less than 40 years, plastic has become our most popular way to pay, due to the added security and flexibility it offers,"" said Apacs spokeswoman Jemma Smith. ""The key driver has been the introduction of debit cards, which now account for two-thirds of plastic card transactions and are used by millions of us every day.""
"	business
Go-ahead for Balkan oil pipeline	"Albania, Bulgaria and Macedonia has given the go ahead for the construction of a $1.2bn oil pipeline that will pass through the Balkan peninsula.

The project aims to allow alternative ports for the shipping of Russian and Caspian oil, that normally goes through Turkish ports. It aims to transport 750,000 daily barrels of oil. The pipeline will be built by the US-registered Albanian Macedonian Bulgarian Oil Corporation (AMBO). The 912km pipeline will run from the Bulgarian port of Burgas, over the Black Sea to the Albanian city of Vlore on the Adriatic coast, crossing Macedonia.

The project was conceived in 1994 but it was delayed because of the lack of political support. By signing the agreement on Tuesday, the prime ministers of Bulgaria, Albania and Macedonia have overcome the problem. ""This is one of the most important infrastructure projects for regional, EU, and Euro-Atlantic integration for the western Balkans,"" said Albanian Prime Minister Fatos Nano. According to Pat Ferguson, President of AMBO, work on the pipeline will begin in 2005 and it is expected to be ready in three or four years. He added that the company had already raised about $900m from the Overseas Private Investment Corporation (OPIC) - a US development agency - the Eximbank and Credit Suisse First Boston, among others. The project has also the support of the European Union. Analysts have said that oil companies like ChevronTexaco, Exxon Mobil and British Petroleum would be happy to find alternative routes to the Bosphorus and Dardanelles Straits.
"	business
Durex maker SSL awaits firm bid	"UK condom maker SSL International has refused to comment on reports it may be subject to a takeover early in 2005.

A Financial Times report said business intelligence firm GPW was understood to be starting due diligence work on SSL International, for a corporate client. An spokesman for SSL, which makes the famous Durex brand of condom, would not to comment on ""market speculation"". However the news sent shares in SSL, which also makes Scholl footwear, up more than 6%, or 16.75 pence to 293.5p.

The FT said most the high-profile firm that might woo SSL was Anglo-Dutch household products group Reckitt Benckiser. Eighteen months ago Reckitt Benckiser was at the centre of a rumoured takeover bid for SSL - but that came to nothing. Other firms that have been seen as would-be suitors include Kimberly-Clark, Johnson & Johnson, and private equity investors. Analysts have seen SSL as a takeover target for years. It sold off its surgical gloves and antiseptics businesses for £173m to a management team in May. SSL was formed by a three-way merger between Seton Healthcare, footwear specialists Scholl and condom-maker London International Group. Its other brands include Syndol analgesic, Meltus cough medicine, Sauber compression hosiery and deodorant products, and Mister Baby.
"	business
Nasdaq planning $100m-share sale	"The owner of the technology-dominated Nasdaq stock index plans to sell shares to the public and list itself on the market it operates.

According to a registration document filed with the Securities and Exchange Commission, Nasdaq Stock Market plans to raise $100m (£52m) from the sale. Some observers see this as another step closer to a full public listing. However Nasdaq, an icon of the 1990s technology boom, recently poured cold water on those suggestions.

The company first sold shares in private placements during 2000 and 2001. It technically went public in 2002 when the stock started trading on the OTC Bulletin Board, which lists equities that trade only occasionally. Nasdaq will not make money from the sale, only investors who bought shares in the private placings, the filing documents said. The Nasdaq is made up shares in technology firms and other companies with high growth potential. It was the most potent symbol of the 1990s internet and telecoms boom, nose-diving after the bubble burst. A recovery in the fortunes of tech giants such as Intel, and dot.com survivors such as Amazon has helped revive its fortunes.
"	business
WMC says Xstrata bid is too low	"Australian mining firm WMC Resources has said it is worth up to 30% more than a hostile 7.4bn Australian dollar ($5.8bn; £3bn) bid by rival Xstrata.

There is now pressure on Swiss-based Xstrata to increase its takeover offer. A report from investment firm Grant Samuel in WMC defence documents values WMC shares at A$7.17 to A$8.24, against Xstrata's bid of A$6.35 a share. Analysts said the defence documents provided more details on WMC, and may trigger a possible rival bid. ""If a bid is going to emerge it is probably likely in the next one to two weeks,"" said Daiwa Securities analyst Mark Pervan. He said the valuation would put increased pressure on Xstrata to look at ""sweetening"" its offer. Marc Gonsalves, an executive at Xstrata, said: ""We will review the information contained in the target's statement over the next week or so."" He added: ""While we will review the assumptions made by Grant Samuel in detail, we are extremely sceptical of their conclusion, and suggest that WMC shareholders take extreme care in presuming that these optimistic assumptions are capable of being realised.""

Last month Australia's competition watchdog said it would not oppose the purchase of WMC by Zurich and London-based Xstrata. On Tuesday, WMC chairman Tommie Bergman said in a statement the directors believed it was in shareholders' best interest to reject the offer. He said WMC would pursue ""value-creating options"" provided by a portfolio of ""world class assets"". And WMC chief executive Andrew Michelmore claimed the Xstrata offer was aimed at creating value for Xstrata's shareholders, and was not being made for the benefit of WMC's shareholders. Grant Samuel said its valuation of WMC was based on lower average prices for nickel, copper and uranium than current market levels. ""Any longer term commodity price improvements would only improve our outlook,"" Mr Michelmore said.

In 2003 Xstrata acquired Australia's largest copper miner - MIM Holdings. WMC Resources is the world's third-largest producer of concentrated nickel, and also a miner of copper and uranium. It owns the Olympic Dam mine in South Australia, which contains about one-third of the world's known uranium resources and is also the world's fourth largest copper mine. Xstrata is a global mining giant with operations in Australia, South Africa, Spain, Germany, Argentina and the UK. Its core products are copper, coking coal, thermal coal, ferrochrome, vanadium and zinc. It also has growing businesses in gold, lead and silver.
"	business
